Product,Timestamp,Dealprice
華為-Mate30-5G,2021-01-14,4989.0
華為-Mat30Pro,2021-01-14,5299.0
華為-Mat30Pro-5G,2021-01-14,6399.0
Vivo-Nex3,2021-01-14,3998.0
Vivo-Nex3-5G,2021-01-14,3996.0
三星-Note10,2021-01-14,4699.0
三星-Note10-5G,2021-01-14,5799.0
華為-Mate30,2021-01-13,3999.0
華為-Mate30-5G,2021-01-13,4989.0
華為-Mat30Pro,2021-01-13,5299.0
華為-Mat30Pro-5G,2021-01-13,6399.0
Vivo-Nex3,2021-01-13,3998.0
Vivo-Nex3-5G,2021-01-13,3996.0
三星-Note10,2021-01-13,4699.0
三星-Note10-5G,2021-01-13,5799.0
華為-Mate30,2021-01-11,3999.0
華為-Mate30-5G,2021-01-11,4989.0
華為-Mat30Pro,2021-01-11,5299.0
華為-Mat30Pro-5G,2021-01-11,6399.0
Vivo-Nex3,2021-01-11,3998.0
Vivo-Nex3-5G,2021-01-11,3996.0
三星-Note10,2021-01-11,4699.0
三星-Note10-5G,2021-01-11,5799.0
華為-Mate30,2021-01-10,3999.0
華為-Mate30-5G,2021-01-10,4989.0
華為-Mat30Pro,2021-01-10,5299.0
華為-Mat30Pro-5G,2021-01-10,6399.0
Vivo-Nex3,2021-01-10,3998.0
Vivo-Nex3-5G,2021-01-10,3996.0
三星-Note10,2021-01-10,4699.0
三星-Note10-5G,2021-01-10,5799.0
華為-Mate30,2021-01-09,3999.0
華為-Mate30-5G,2021-01-09,4989.0
華為-Mat30Pro,2021-01-09,5299.0
華為-Mat30Pro-5G,2021-01-09,6399.0
Vivo-Nex3,2021-01-09,3998.0
Vivo-Nex3-5G,2021-01-09,3996.0
三星-Note10,2021-01-09,4699.0
三星-Note10-5G,2021-01-09,5799.0
華為-Mate30,2021-01-08,3999.0
華為-Mate30-5G,2021-01-08,4989.0
華為-Mat30Pro,2021-01-08,5299.0
華為-Mat30Pro-5G,2021-01-08,6399.0
Vivo-Nex3,2021-01-08,3998.0
Vivo-Nex3-5G,2021-01-08,3996.0
三星-Note10,2021-01-08,4699.0
三星-Note10-5G,2021-01-08,5799.0
華為-Mate30,2021-01-07,3999.0
華為-Mate30-5G,2021-01-07,4989.0
華為-Mat30Pro,2021-01-07,5299.0
華為-Mat30Pro-5G,2021-01-07,6399.0
Vivo-Nex3,2021-01-07,3998.0
Vivo-Nex3-5G,2021-01-07,3996.0
三星-Note10,2021-01-07,4699.0
三星-Note10-5G,2021-01-07,5799.0
華為-Mate30,2021-01-06,3999.0
華為-Mate30-5G,2021-01-06,4989.0
華為-Mat30Pro,2021-01-06,5299.0
華為-Mat30Pro-5G,2021-01-06,6399.0
Vivo-Nex3,2021-01-06,3998.0
Vivo-Nex3-5G,2021-01-06,3996.0
三星-Note10,2021-01-06,4699.0
三星-Note10-5G,2021-01-06,5799.0
華為-Mate30,2021-01-05,3999.0
華為-Mate30-5G,2021-01-05,4989.0
